"Property Address","City","Zip","County","Building Type","Roof Sqft (estimated)","Owner LLC / Company Name","Owner Contact Name","Owner Email","Estimated Solar Potential (kWh/year)","Solar Score","Parcel ID","GIS Source URL"
"1440 Harbor Bay Pkwy","Alameda","94502","Alameda","Office","42000","Harbor Bay Business Park LLC","","","316144","Medium","074-0521-001-00","https://data.acgov.org/"
"1999 Harrison St","Oakland","94612","Alameda","Office","35000","Harrison Street Capital LLC","","","316260","Medium","008-0621-002-00","https://data.acgov.org/"
"2601 21st Ave","Oakland","94601","Alameda","Industrial/PDR","28000","Oakland PDR Holdings LLC","","","316281","Medium","037-1180-003-00","https://data.acgov.org/"
"1500 Martin Luther King Jr Way","Berkeley","94709","Alameda","Office/Retail","35000","MLK Way LLC","","","316699","Medium","058-2120-004-00","https://data.acgov.org/"
"3150 Telegraph Ave","Oakland","94609","Alameda","Office/Retail","24000","Telegraph Ave Partners LLC","","","316159","Medium","017-0800-005-00","https://data.acgov.org/"
"2401 Monarch St","Alameda","94501","Alameda","Industrial/PDR","45000","Monarch Industrial LLC","","","316205","Medium","074-0531-006-00","https://data.acgov.org/"
"7677 Oakport St","Oakland","94621","Alameda","Industrial","38000","Oakport Industrial LLC","","","316275","Medium","037-3700-007-00","https://data.acgov.org/"
"3700 Richmond Ave","Oakland","94611","Alameda","Retail Center","22000","Richmond Ave Retail LLC","","","316342","Medium","023-1230-008-00","https://data.acgov.org/"
"3310 Broadway","Oakland","94611","Alameda","Office/Retail","25000","Broadway Partners LLC","","","316217","Medium","010-0710-009-00","https://data.acgov.org/"
"375 14th St","Oakland","94612","Alameda","Office","48000","14th Street LLC","","","316487","Medium","003-0620-010-00","https://data.acgov.org/"
"1411 E 31st St","Oakland","94602","Alameda","Industrial","28000","East 31st Industrial LLC","","","316311","Medium","034-0910-011-00","https://data.acgov.org/"
"2940 Summit St","Oakland","94609","Alameda","Office","22000","Summit Partners LLC","","","316363","Medium","012-0720-012-00","https://data.acgov.org/"
"8201 Edgewater Dr","Oakland","94621","Alameda","Industrial","35000","Edgewater Industrial LLC","","","316493","Medium","037-3710-013-00","https://data.acgov.org/"
"5730 Depot St","Emeryville","94608","Alameda","Industrial/PDR","24000","Emeryville PDR LLC","","","316432","Medium","049-1380-014-00","https://data.acgov.org/"
"1800 Adeline St","Berkeley","94703","Alameda","Industrial/PDR","20500","Adeline Partners LLC","","","316171","Medium","058-2130-015-00","https://data.acgov.org/"
"2700 Maxwell Ave","Oakland","94601","Alameda","Industrial","30000","Maxwell Avenue LLC","","","316330","Medium","037-2750-016-00","https://data.acgov.org/"
"955 High St","Oakland","94601","Alameda","Industrial","26000","High Street LLC","","","316599","Medium","037-2760-017-00","https://data.acgov.org/"
"1201 Marina Village Pkwy","Alameda","94501","Alameda","Office","40000","Marina Village LLC","","","316360","Medium","074-0535-018-00","https://data.acgov.org/"
"3800 Horton St","Emeryville","94608","Alameda","Industrial/Office","36000","Horton Street LLC","","","316439","Medium","049-1390-019-00","https://data.acgov.org/"
"1100 Park Ave","Emeryville","94608","Alameda","Office/R&D","44000","Park Avenue Partners LLC","","","316185","Medium","049-1400-020-00","https://data.acgov.org/"
"2000 Powell St","Emeryville","94608","Alameda","Retail","48000","Emery Bay LLC","","","316262","Medium","049-1410-021-00","https://data.acgov.org/"
"5488 Central Ave","Newark","94560","Alameda","Office/R&D","35000","Central Newark LLC","","","316140","Medium","092A-0885-022-00","https://data.acgov.org/"
"38700 Cherry St","Newark","94560","Alameda","Industrial","45000","Cherry Street Industrial LLC","","","316300","Medium","092A-0890-023-00","https://data.acgov.org/"
"3888 Telegraph Ave","Oakland","94609","Alameda","Mixed-Use Commercial","20100","Telegraph Commercial LLC","","","316055","Medium","017-0810-024-00","https://data.acgov.org/"
"5800 Central Ave","Newark","94560","Alameda","Industrial","48000","Newark Central LLC","","","316520","Medium","092A-0895-025-00","https://data.acgov.org/"
