#,Hotel Name,Address/City,Website,Estimated Size (Rooms),Owner or GM Name,LinkedIn or Contact URL,Fit Score (1-5),Tier,Trigger Signal,Why Now
1,Beck's Motor Lodge,"2222 Market St, San Francisco (Castro), CA 94114",becksmotorlodge.com,58 rooms,Beck family (independently owned 65+ years),becksmotorlodge.com/contact | (415) 621-8212,5,Tier 1,1950s construction; same family for 65+ years; no in-house maintenance team; no chain,Operated by same family for 65+ years in 1950s-era building; electrical system likely original or last upgraded 30+ years ago; high conversion potential
2,Golden Gate Hotel,"775 Bush St, San Francisco (Nob Hill), CA 94108",goldengatehotel.com,25 rooms,"John & Renate Kenaston (Family owners, multi-decade tenure)",goldengatehotel.com/contact | (415) 392-3702,5,Tier 1,1913 Edwardian building; family-owned independently for decades; no chain; small 25-room operation,Family-owned 1913 Edwardian hotel with no corporate maintenance team; 110-year-old building is a textbook candidate for insurance-mandated panel upgrade
3,Herbert Hotel,"161 Powell St, San Francisco (Union Square), CA 94102",herberthotel.com,94 rooms,Independent owner (multi-generational family-run property),herberthotel.com | (415) 362-1600,5,Tier 1,Pre-1910 building; independently owned across generations; budget-tier; high deferred maintenance likelihood,Pre-1910 independently owned Powell Street hotel—century-old building at budget price point with historically low maintenance spend; insurer-mandated upgrade overdue
4,Hotel Bijou,"111 Mason St, San Francisco (Tenderloin border), CA 94102",hotelbijousf.com,65 rooms,Kunal Sikand & Aalok Sikand (Co-owners; family-owned since 2008),hotelbijousf.com/contact | (415) 771-1200,5,Tier 1,Family-owned; 1910 building; Tenderloin border; pre-WWII construction; no chain engineering,Family-owned 110-year-old building at Tenderloin border; SF insurers heavily scrutinize this district; electrical infrastructure from original build era
5,Hotel Mac,"10 Cottage Ave, Point Richmond (East Bay), CA 94801",thehotelmac.com,13 rooms,Independent owner (National Register historic property),thehotelmac.com/contact | (510) 253-5088,5,Tier 1,Built 1911; National Register of Historic Places; pre-WWI construction; East Bay independent,1911 East Bay landmark with century-old infrastructure; historic designation does not exempt from insurer-mandated electrical upgrades; strong compliance trigger
6,Hotel Sausalito,"16 El Portal, Sausalito, Marin County, CA 94965",hotelsausalito.com,16 rooms,Independent owner (operating since 1915),hotelsausalito.com/contact | (415) 332-0700,5,Tier 1,Built 1915; 100+ year-old building; independent boutique; Marin County,Over a century of operation in the same historic building; no chain maintenance; insurance pressure to modernize electrical in century-old Marin County hospitality properties
7,Marina Motel,"2576 Lombard St, San Francisco (Marina District), CA 94123",marinamotel.com,38 rooms,Family ownership (founded 1939),frontdesk@marinamotel.com | (415) 921-3430,5,Tier 1,Built 1939; same family 80+ years; pre-WWII construction; Lombard St independent,One of SF's oldest continuously operating motels—80-year-old building with likely original electrical infrastructure; insurer pressure intensifying on this era of property
8,Mosser Hotel,"54 4th St, San Francisco (SoMa), CA 94103",themosser.com,98 rooms,Mosser family (multi-decade independent ownership),themosser.com/contact | (415) 986-4400,5,Tier 1,1913 building; family-owned 100+ years; SoMa; no chain affiliation,Family-owned 1913 SoMa building—100+ years under same ownership with likely original or once-upgraded panels; high probability of insurer-mandated upgrade need
9,Nob Hill Inn,"1000 Pine St, San Francisco (Nob Hill), CA 94109",nobhillinn.com,21 rooms,Independent owner-operator,nobhillinn.com/contact | (415) 673-6080,5,Tier 1,Built 1907; post-earthquake Victorian; small independent boutique inn; no chain,1907 Victorian with no corporate maintenance budget; aging electrical almost certain to trigger insurer-mandated work; small team highly receptive to turnkey service
10,Phoenix Hotel,"601 Eddy St, San Francisco (Tenderloin), CA 94109",thephoenixhotel.com,44 rooms,"Patel/Suas group (new owners, acquired February 2026)",thephoenixhotel.com/contact | (415) 776-1380,5,Tier 1,Ownership change February 2026; 1950s building; brand-new independent operator,Brand-new 2026 ownership of a 1950s-era building—new owners actively discovering deferred maintenance including aging electrical panel; ideal first-call entry point
